Id,Name,店铺名,流程配置路径
ffdb02f3-cf25-4481-9171-9ce68c15aa57,Aesop海外旗舰店_店铺排行,Aesop海外旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Aesop海外旗舰店_店铺排行.xlsx
b38b7e51-7652-43a2-97f5-99dc5d90f57d,Aesop海外旗舰店_一级类目_市场,Aesop海外旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Aesop海外旗舰店_一级类目_市场.xlsx
1cde423e-9f53-4bce-a93f-a8e152ddb8ae,BACCARAT巴卡拉旗舰店_店铺排行,BACCARAT巴卡拉旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BACCARAT巴卡拉旗舰店_店铺排行.xlsx
f91684d8-b9ea-4db6-a5d5-8d148afccea4,BACCARAT巴卡拉旗舰店_一级类目_市场,BACCARAT巴卡拉旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BACCARAT巴卡拉旗舰店_一级类目_市场.xlsx
a97a206b-efc6-4fad-8913-d87cd36d5c5c,BalmainHair海外旗舰店_店铺排行,BalmainHair海外旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BalmainHair海外旗舰店_店铺排行.xlsx
1d343cda-f7bc-4c54-8bf3-82bb15cde5c4,BalmainHair海外旗舰店_一级类目_市场,BalmainHair海外旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BalmainHair海外旗舰店_一级类目_市场.xlsx
71c5fed0-6c54-4830-99bb-10f759db8f2a,bluenile旗舰店_店铺排行,BLUE NILE旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bluenile旗舰店_店铺排行.xlsx
e4cb02be-c749-4235-9773-dc3df1771ff4,bluenile旗舰店_一级类目_市场,BLUE NILE旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bluenile旗舰店_一级类目_市场.xlsx
c58082ff-8200-4af2-9dd5-6c0962d6c11d,BONDI WASH旗舰店_店铺排行,BONDI WASH旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BONDI WASH旗舰店_店铺排行.xlsx
52ac1576-dd07-48ea-b061-be5b5327611c,BONDI WASH旗舰店_一级类目_市场,BONDI WASH旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BONDI WASH旗舰店_一级类目_市场.xlsx
fbabd926-258f-4a56-9406-433b59d97bd9,bonpoint童装旗舰店_店铺排行2,Bonpoint童装旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bonpoint童装旗舰店_市场排行_店铺排行2.xlsx
806f88ac-45ce-4d69-9c2d-2b139164a679,bonpoint童装旗舰店_市场排行_店铺排行,Bonpoint童装旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bonpoint童装旗舰店_市场排行_店铺排行.xlsx
e16630a4-833d-4c47-85ce-ded9e8f235c5,bonpoint童装旗舰店_市场排行_店铺排行2,Bonpoint童装旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bonpoint童装旗舰店_市场排行_店铺排行2.xlsx
969b78ff-6339-4c0b-80aa-81283b051db5,bonpoint童装旗舰店_市场排行_一级类目,Bonpoint童装旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bonpoint童装旗舰店_市场排行_一级类目.xlsx
684530a8-93a2-4f85-8493-7a7a611674fd,Byredo柏芮朵官方旗舰店_店铺排行,BYREDO柏芮朵官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\byredo柏芮朵官方旗舰店_店铺排行.xlsx
525faef6-fffc-4dea-ac70-7b76a4bb5a50,COACH官方outlet旗舰店_店铺排行,COACH官方outlet旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\COACH官方outlet旗舰店_店铺排行.xlsx
aa2129ba-fd06-43ef-b586-c73dc56cd535,COACH官方outlet旗舰店_一级类目_市场,COACH官方outlet旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\COACH官方outlet旗舰店_一级类目_市场.xlsx
85e0dc86-595a-4298-93f0-df05f0c09e4e,COACH蔻驰官方旗舰店_店铺排行,COACH蔻驰官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\COACH蔻驰官方旗舰店_店铺排行.xlsx
f22f4b49-c596-4b86-90e8-62d5e15980fa,elemis艾丽美旗舰店_店铺排行2,ELEMIS艾丽美官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\elemis艾丽美旗舰店_市场排行_店铺排行2.xlsx
54f7893e-6fb7-416e-b65a-1c4bd3af972d,elemis艾丽美旗舰店_市场排行_店铺排行,ELEMIS艾丽美官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\elemis艾丽美旗舰店_市场排行_店铺排行.xlsx
b3d97a30-f4d4-4a83-8bb9-fc1c13b93c8d,elemis艾丽美旗舰店_一级类目_市场,ELEMIS艾丽美官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\elemis艾丽美旗舰店_一级类目_市场.xlsx
d6e7cbcb-89a4-4fa8-a26a-eea7cda14164,FER A CHEVAL旗舰店_店铺排行,FER A CHEVAL旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\FER A CHEVAL旗舰店_店铺排行.xlsx
015ea8b3-0635-4c2a-9b61-ab022145b038,FREYWILLE旗舰店_店铺排行,FREYWILLE旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\FREYWILLE旗舰店_店铺排行.xlsx
304a7404-20a4-4e4b-8153-45fe4a52da3b,FREYWILLE旗舰店_一级类目_市场,FREYWILLE旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\FREYWILLE旗舰店_一级类目_市场.xlsx
