Id,Name,流程配置路径
ffb45e55-825e-4386-95d4-db070e069ef2,oysho官方旗舰店_内衣家居服_一级类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\oysho官方旗舰店_一级类目-内衣家居服_市场.xlsx
4fe37390-9aae-40fc-90ed-56609853dcbb,oysho官方旗舰店_内衣家居服_店铺排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\oysho官方旗舰店_内衣家居服_店铺排行.xlsx
3032463d-592c-44e0-8c0a-cf53a6071acc,PORTSPURE旗舰店_店铺排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\PORTSPURE旗舰店_店铺排行.xlsx
49dd2c0b-0c3f-4804-989a-d4d3e82a478b,PORTS宝姿男装旗舰店_店铺排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\PORTS宝姿男装旗舰店_店铺排行.xlsx
3893fcad-d130-41ba-aaa9-15e7b11e437a,PORTS宝姿男装旗舰店_市场排行_一级类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\PORTS宝姿男装旗舰店_市场排行_一级类目.xlsx
21fac0af-4d7f-4bde-8fcc-78a18b8e46dd,PORTSPURE旗舰店_市场排行_一级类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\PORTSPURE旗舰店_市场排行_一级类目.xlsx
cd8be657-05ba-427b-8885-95a0b217c44f,bonpoint童装旗舰店_市场排行_商品排行2,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bonpoint童装旗舰店_市场排行_商品排行2.xlsx
cdbe9483-5977-4905-b8c2-49bd34434d24,bonpoint童装旗舰店_市场排行_品牌排行2,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bonpoint童装旗舰店_市场排行_品牌排行2.xlsx
e16630a4-833d-4c47-85ce-ded9e8f235c5,bonpoint童装旗舰店_市场排行_店铺排行2,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bonpoint童装旗舰店_市场排行_店铺排行2.xlsx
bc70604c-be4f-4bb0-b496-4db93b3373dc,elemis艾丽美旗舰店_市场排行_商品排行3_7类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\elemis艾丽美旗舰店_市场排行_商品排行3.xlsx
