Id,Name,流程配置路径
2561f6fd-789f-49d1-8318-0b11d96ee513,lovo官方旗舰店商品360详情,C:\Users\Administrator\AppData\Roaming\LOVO官方旗舰店生意参谋商品360流程配置.xlsx
f80e5e60-0782-45c5-9092-ac0828cb5b8f,罗莱官方旗舰店商品360详情,C:\Users\Administrator\AppData\Roaming\罗莱官方生意参谋流程配置.xlsx
a0aa7842-910b-444d-90eb-2f47382bee89,罗莱家居用品专卖店市场大盘3,C:\Users\Administrator\AppData\Roaming\生意参谋流程配置2.xlsx
8c864951-e459-4a91-9e9e-8d95f405eb36,罗莱家居用品专卖店行业构成,C:\Users\Administrator\AppData\Roaming\市场大盘\生意参谋流程配置一级类目.xlsx
ae876327-df09-4dc9-ac44-f0fffb51630d,罗莱儿童旗舰店竞品分析本品2,C:\Users\Administrator\AppData\Roaming\罗莱儿童旗舰店本品2.xlsx
e029ac6e-74a2-4442-9ae2-1230e93396a1,罗莱儿童旗舰店竞品分析本品,C:\Users\Administrator\AppData\Roaming\罗莱儿童旗舰店本品.xlsx
2b192a63-a725-4365-922c-aa08fb781fc2,lovo旗舰店竞品分析本品,C:\Users\Administrator\AppData\Roaming\lovo官方旗舰店竞品分析本品.xlsx
d68afa8a-fc87-4bfa-a6f6-955991abfb5e,lovo旗舰店竞品分析竞品2,C:\Users\Administrator\AppData\Roaming\lovo官方旗舰店竞品分析竞品2.xlsx
b6f5edf2-6834-45b9-aefa-4e0c51fccb98,lovo旗舰店竞品分析,C:\Users\Administrator\AppData\Roaming\lovo官方旗舰店竞品分析竞品.xlsx
a5e34190-40bd-42b1-843c-5fef14dc9123,罗莱官方旗舰店竞争监控,C:\Users\Administrator\AppData\Roaming\生意参谋流程配置竞争竞店分析.xlsx
57da62e3-3d3f-4e7e-9a4c-24a935e7b916,罗莱儿童旗舰店非市场竞争,C:\Users\Administrator\AppData\Roaming\罗莱儿童旗舰店非市场竞争模块.xlsx
328f0360-5348-434c-85e2-300c1d56214c,lovo官方旗舰店非市场竞争,C:\Users\Administrator\AppData\Roaming\lovo生意参谋非市场竞争模块.xlsx
4ce5f16c-7135-4dd4-9a93-1f74cdd7cb49,罗莱家居用品专卖店品牌排行,C:\Users\Administrator\AppData\Roaming\生意参谋流程配置.xlsx
33687ad6-6c7f-44b5-a53c-ad71bb577d7f,罗莱家居用品专卖店市场大盘2,C:\Users\Administrator\AppData\Roaming\市场大盘\生意参谋流程配置2.xlsx
b3fc5a2c-8e29-4214-8232-d5e7341a40ff,罗莱官方旗舰店非市场竞争,C:\Users\Administrator\AppData\Roaming\生意参谋流程配置.xlsx
2eea9432-697f-407d-9f65-98268e287295,罗莱官方旗舰店_生意参谋_竞争竞店,C:\Users\Administrator\AppData\Roaming\生意参谋流程配置竞争竞店分析.xlsx
b1f1133d-3bca-40c3-bdf9-18d041e02434,罗莱官方旗舰店_生意参谋_竞争竞品2,C:\Users\Administrator\AppData\Roaming\生意参谋罗莱官方旗舰店竞品分析2.xlsx
46945b45-2a48-4c14-9d8f-f13314a2bc4c,罗莱官方旗舰店_生意参谋_竞争竞品1,C:\Users\Administrator\AppData\Roaming\生意参谋罗莱官方旗舰店竞品分析1.xlsx
f5d0b372-ad3b-4328-aa7b-4f876bdc1275,罗莱家居用品专卖店市场大盘,C:\Users\Administrator\AppData\Roaming\市场大盘\生意参谋流程配置.xlsx
7d96eee6-7c8c-4a3e-a3f0-d58f4480163b,罗莱官方旗舰店_生意参谋_竞品分析本品,C:\Users\Administrator\AppData\Roaming\生意参谋罗莱官方旗舰店竞品分析本品.xlsx
