Document Number,Document Type,Received Date,Vendor Number,Location
6750502524,PO,7/10/2022 3:33:06 PM,196654,7495
9100503432,PO,7/10/2022 3:33:05 PM,196654,7484
6800502086,PO,7/10/2022 3:33:05 PM,196654,7428
7800522475,PO,7/10/2022 3:33:03 PM,196654,7400
5250512386,PO,7/10/2022 3:32:56 PM,196654,7496
3850506158,PO,7/10/2022 3:32:56 PM,196654,7466
5700956129,PO,7/10/2022 3:32:53 PM,196654,7433
5450507734,PO,7/10/2022 3:32:53 PM,196654,7495
3550507736,PO,7/10/2022 3:32:52 PM,196654,7484
2500956544,PO,7/10/2022 3:32:52 PM,196654,7400
1650506407,PO,7/10/2022 3:32:43 PM,196654,7429
2100506514,PO,7/10/2022 3:32:43 PM,196654,7496
9900419388,PO,7/10/2022 2:35:48 PM,196654,4819
5500586757,PO,7/10/2022 2:35:44 PM,196654,4873
0600575873,PO,7/10/2022 2:35:22 PM,196654,4874
1700613690,PO,7/10/2022 2:35:18 PM,196654,4802
0750427285,PO,7/10/2022 2:35:14 PM,196654,4817
6800502066,PO,7/8/2022 3:35:49 AM,196654,7428
3150611714,PO,7/8/2022 3:35:48 AM,196654,7484
7026583462,PO,7/8/2022 3:03:21 AM,196654,7429
0500582138,PO,7/8/2022 12:08:41 AM,196654,4819
0500582136,PO,7/8/2022 12:08:39 AM,196654,4874
0500582137,PO,7/8/2022 12:08:39 AM,196654,4873
0500582083,PO,7/7/2022 10:11:07 PM,196654,4819
0500582090,PO,7/7/2022 10:10:59 PM,196654,4873
9100503424,PO,7/7/2022 4:17:40 PM,196654,7484
7750501722,PO,7/7/2022 4:17:21 PM,196654,7433
9100503423,PO,7/7/2022 4:17:18 PM,196654,7484
7800522463,PO,7/7/2022 4:17:12 PM,196654,7400
5450507711,PO,7/7/2022 4:16:46 PM,196654,7495
6800502076,PO,7/7/2022 4:16:43 PM,196654,7428
6750502517,PO,7/7/2022 4:16:40 PM,196654,7495
5700956110,PO,7/7/2022 4:16:36 PM,196654,7433
5250512380,PO,7/7/2022 4:15:57 PM,196654,7496
3550507711,PO,7/7/2022 4:15:56 PM,196654,7484
3150522195,PO,7/7/2022 4:15:56 PM,196654,7429
3550507710,PO,7/7/2022 4:15:53 PM,196654,7484
2500956522,PO,7/7/2022 4:15:53 PM,196654,7400
3850506135,PO,7/7/2022 4:15:53 PM,196654,7466
1650506383,PO,7/7/2022 4:15:46 PM,196654,7429
2100506493,PO,7/7/2022 4:15:35 PM,196654,7496
0500581596,PO,7/7/2022 4:09:19 AM,196654,4802
3150611686,PO,7/7/2022 3:37:03 AM,196654,7484
3150522185,PO,7/7/2022 3:03:55 AM,196654,7429
2100506452,PO,7/7/2022 3:03:54 AM,196654,7496
3150522185,PO,7/6/2022 11:03:27 PM,196654,7429
1700613546,PO,7/6/2022 1:44:40 PM,196654,4802
9900419343,PO,7/6/2022 1:44:39 PM,196654,4819
5500586694,PO,7/6/2022 1:44:31 PM,196654,4873
0750427251,PO,7/6/2022 1:44:18 PM,196654,4817
0600575726,PO,7/6/2022 1:44:15 PM,196654,4874
7150566389,PO,7/6/2022 7:04:56 AM,196654,7495
3150611659,PO,7/6/2022 7:04:56 AM,196654,7484
7150566381,PO,7/6/2022 4:04:49 AM,196654,7495
7026583473,PO,7/6/2022 4:04:47 AM,196654,7429
9950618316,PO,7/6/2022 2:09:38 AM,196654,4873
9950618315,PO,7/6/2022 2:09:37 AM,196654,4874
9950618314,PO,7/6/2022 2:09:36 AM,196654,4819
9950618313,PO,7/6/2022 2:09:35 AM,196654,4819
9950618312,PO,7/6/2022 2:09:34 AM,196654,4802
9950618311,PO,7/6/2022 2:09:33 AM,196654,4874
9950618310,PO,7/6/2022 2:09:21 AM,196654,4873
0750427135,PO,7/6/2022 2:09:20 AM,196654,4817
