Document Number,Document Type,Received Date,Vendor Number,Location
6750601332,PO,1/26/2022 12:06:45 AM,98053,4874
9050578475,PO,1/25/2022 10:09:34 PM,98053,4874
6100602473,PO,1/25/2022 1:40:52 PM,98053,4817
9050578475,PO,1/25/2022 1:40:49 PM,98053,4874
6600607763,PO,1/25/2022 4:09:34 AM,98053,4874
6600607763,PO,1/25/2022 12:07:16 AM,98053,4874
6600607776,PO,1/24/2022 10:08:54 PM,98053,4874
6600607779,PO,1/24/2022 10:08:54 PM,98053,4873
6600607789,PO,1/24/2022 10:08:51 PM,98053,4874
6600607775,PO,1/24/2022 10:08:47 PM,98053,4802
6100602473,PO,1/24/2022 1:41:24 PM,98053,4817
6600607754,PO,1/24/2022 4:18:00 AM,98053,4802
6600607786,PO,1/24/2022 4:18:00 AM,98053,4819
6600607779,PO,1/24/2022 4:17:59 AM,98053,4873
6600607568,PO,1/24/2022 4:17:58 AM,98053,4873
6600607611,PO,1/24/2022 4:17:58 AM,98053,4819
6600607763,PO,1/24/2022 4:17:57 AM,98053,4874
6600607775,PO,1/24/2022 4:17:57 AM,98053,4802
6600607767,PO,1/24/2022 4:17:55 AM,98053,4873
6600607776,PO,1/24/2022 4:17:54 AM,98053,4874
6600607789,PO,1/24/2022 4:17:52 AM,98053,4874
6600605981,PO,1/24/2022 1:18:55 AM,98053,4874
6600605982,PO,1/24/2022 1:18:54 AM,98053,4874
6600602079,PO,1/21/2022 2:11:23 AM,98053,4873
6600602046,PO,1/21/2022 2:11:21 AM,98053,4802
6600602053,PO,1/21/2022 2:11:17 AM,98053,4802
6600602104,PO,1/21/2022 2:11:17 AM,98053,4874
6600602066,PO,1/21/2022 2:11:15 AM,98053,4802
9050578363,PO,1/21/2022 2:11:11 AM,98053,4874
6600602107,PO,1/21/2022 2:11:08 AM,98053,4817
