Order Date,PO No.,SAP PO,仓号,WMDC,Order type（Promotional Event）,Nestle BU,是否为手工单,是否为稳定库存,Order qty,起送日,MABD,Order category,Exception category,Item Type,Customer order Item,原始MABD,新MABD,沃尔玛产品编码,雀巢产品编码,Material Description,原单箱规,原订单数量,修改后订单数量,雀巢数量,雀巢价格,沃尔玛价格,Exception reason
2021/12/21,1350502383,1350502383-CDFDC-1221-1,7496,CDFDC,POS REPLEN,,,,72,2021/07/26,2021/08/02,exception,跨月订单,Order,7,,2021/08/02,,,,,,,,,,跨月订单
2021/12/21,1350502426,1350502426-CDFDC-1221-2,7496,CDFDC,POS REPLEN,,,,77,2021/08/02,2021/08/09,clean,,Order,7,,2021/08/09,,,,,,,,,,
2021/12/21,1350502471,1350502471-CDFDC-1221-3,7496,CDFDC,POS REPLEN,,,,26,2021/08/09,2021/08/16,clean,,Order,6,,2021/08/16,,,,,,,,,,
2021/12/21,2200543672,2200543672-CDFDC-1221-4,7496,CDFDC,HODEMWKCDF,,,,9,2021/07/22,2021/07/29,clean,,Order,3,,2021/07/29,,,,,,,,,,
2021/12/21,2200543673,2200543673-CDFDC-1221-5,7496,CDFDC,REGPROWCDF,,,,2,2021/07/22,2021/07/29,clean,,Order,1,,2021/07/29,,,,,,,,,,
2021/12/21,2200543776,2200543776-CDFDC-1221-6,7496,CDFDC,HODEMWKCDF,,,,62,2021/07/26,2021/08/02,exception,跨月订单,Order,3,,2021/08/02,,,,,,,,,,跨月订单
2021/12/21,2200543829,2200543829-CDFDC-1221-7,7496,CDFDC,HODEMWKCDF,,,,20,2021/07/31,2021/08/07,exception,跨月订单,Order,2,,2021/08/07,,,,,,,,,,跨月订单
2021/12/21,2200543844,2200543844-CDFDC-1221-8,7496,CDFDC,STOF4CDCDF,,,,3,2021/08/02,2021/08/16,clean,,Order,1,,2021/08/16,,,,,,,,,,
2021/12/21,2200543915,2200543915-CDFDC-1221-9,7496,CDFDC,HODEMWKCDF,,,,310,2021/08/03,2021/08/09,clean,,Order,6,,2021/08/09,,,,,,,,,,
2021/12/21,2350502529,2350502529-WHFDC-1221-10,7429,WHFDC,POS REPLEN,,,,143,2021/07/26,2021/08/06,exception,跨月订单; 重复订单：订单修改MABD,Order,7,2021/08/02,2021/08/06,,,,,,,,,,跨月订单; 重复订单：订单修改MABD
