渠道,客户名称,订单日期,客户PO,客户产品代码,雀巢产品代码,Plant/区域,产品名称,BU,数量,雀巢 SAP PO,C4开票价,价差,箱价,TPP扣点,实际扣点,客户要求送货日,客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福,2021/11/30,1028801671,124127666,12477189,1098,雀巢咖啡1+2原味15g*30,Coffee,2,1028801671YK,,,379.05,,,2021/12/01,35.7080,,,,,,,订单已取消,客户系统显示订单已取消,
01 NKA,家乐福,2021/11/30,1028801019,124231084,12409460,1098,雀巢 高钙营养奶粉 850g/罐,Dairy,10,1028801019CH,,,401.00,,,2021/12/04,75.5220,,,,,,,订单修改RDD,客户网站交货日期被修改,
01 NKA,家乐福,2021/11/30,1028801019,140665104,12329778,1098,雀巢 怡养健心中老年奶粉800g,Dairy,10,1028801019CH,,,545.00,,,2021/12/04,102.6420,,,,,,,订单修改RDD,客户网站交货日期被修改,
01 NKA,家乐福,2021/12/01,1028822584,11663157370,12476896,1098,雀巢咖啡1+2原味900g,Coffee,10,1028822584CH,,,447.45,,,2021/12/04,66.5290,,,,,,,订单修改RDD,客户网站交货日期被修改,
01 NKA,家乐福,2021/12/06,1028884005,193290839,12417445,1094,雀巢优麦燕麦配方麦片500g,Dairy,1,1028884005YK,200.860400,28.462000,212.00,0.0000,-0.165094,2021/12/08,27.9110,21.20,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028884005,12317000385,12495107,1094,雀巢金牌厚乳风味拿铁条装即溶咖啡饮品95g,Coffee,1,1028884005YK,98.397200,0.000000,121.00,0.0000,0.0000,2021/12/08,13.6730,12.10,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028884005,12274250339,12501705,1094,雀巢咖啡特调果萃系列草莓雪酪风味即溶咖啡饮品@10(5x19g)CN,Coffee,1,1028884005YK,56.924000,0.000000,70.00,0.0000,0.0000,2021/12/08,7.9100,7.00,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028884005,12274250358,12501675,1094,雀巢咖啡特调果萃系列热情百香果风味即溶咖啡饮品@10(5x15g)CN,Coffee,1,1028884005YK,56.924000,0.000000,70.00,0.0000,0.0000,2021/12/08,7.9100,7.00,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028884005,12316195422,12495109,1094,雀巢金牌香草风味玛奇朵条装即溶咖啡饮品95g,Coffee,1,1028884005YK,98.397200,0.000000,121.00,0.0000,0.0000,2021/12/08,13.6730,12.10,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028884005,10836368786,12401216,1094,雀巢金牌至臻原味黑咖啡粉条装12g(6条*2g),Coffee,1,1028884005YK,88.637361,-0.001439,109.00,0.0000,0.000016,2021/12/08,10.2640,9.083333,,,,,," ",,
