渠道,客户名称,"date_format(`订单日期`, '%Y%m%d')",客户PO,客户产品码,雀巢产品码,区域,产品名称,Nestle_BU,数量,SAP_PO,C4开票价,价差,箱价,TPP扣点,实际扣点,"date_format(`客户要求送货日`, '%Y/%m/%d')",客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福,20211130,1028795337,10137162929,12356311,7282,嘉宝有机原味营养米粉225G,Nutrition,1,1028795337YK,483.040800,-13.011200,610.00,0.000000,0.026230,2021/12/03,55.9350,50.833333,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795337,11211755722,12361184,7282,嘉宝钙铁锌营养麦粉198g,Nutrition,1,1028795337YK,363.504718,0.004318,447.00,0.000000,-0.000012,2021/12/03,42.0930,37.25,,,,,," ",,
01 NKA,家乐福,20211130,1028795337,11355077391,12413352,7282,嘉宝香蕉橙子泡芙49克,Nutrition,1,1028795337YK,331.785600,0.000000,408.00,0.000000,0.000000,2021/12/03,38.4200,34.00,,,,,," ",,
01 NKA,家乐福,20211130,1028795337,103774183,,7282,雀巢菠菜营养米粉225g,,1,1028795337YK,,,,,,2021/12/03,27.8730,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795337,11663157275,12361188,7282,嘉宝缤纷水果营养米粉198g,Nutrition,1,1028795337YK,363.504718,0.004318,447.00,0.000000,-0.000012,2021/12/03,42.0930,37.25,,,,,," ",,
01 NKA,家乐福,20211130,1028795337,10137148488,12356310,7282,嘉宝有机香蕉苹果营养米粉225g,Nutrition,1,1028795337YK,483.040800,-13.011200,610.00,0.000000,0.026230,2021/12/03,55.9350,50.833333,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795337,102461577,12423612,7282,嘉宝 番茄牛肉配方营养米粉250g,Nutrition,1,1028795337YK,385.456800,0.000000,474.00,0.000000,0.000000,2021/12/03,44.6350,39.50,,,,,," ",,
01 NKA,家乐福,20211130,1028795337,11348652529,12413486,7282,嘉宝梨桃子泡芙49克,Nutrition,1,1028795337YK,331.785600,0.000000,408.00,0.000000,0.000000,2021/12/03,38.4200,34.00,,,,,," ",,
01 NKA,家乐福,20211130,1028795337,123999590,12423652,7282,嘉宝混合蔬菜营养米粉250g,Nutrition,1,1028795337YK,385.456800,0.000000,474.00,0.000000,0.000000,2021/12/03,44.6350,39.50,,,,,," ",,
01 NKA,家乐福,20211130,1028795337,11211253549,12361186,7282,嘉宝番茄牛肉营养米粉198g,Nutrition,1,1028795337YK,363.504718,0.004318,447.00,0.000000,-0.000012,2021/12/03,42.0930,37.25,,,,,," ",,
01 NKA,家乐福,20211130,1028795337,102878794,,7282,雀巢能恩3幼儿配方奶粉袋装400克,,2,1028795337YK,,,,,,2021/12/03,59.6080,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795337,103774184,,7282,雀巢什锦水果营养米粉225g,,2,1028795337YK,,,,,,2021/12/03,27.8730,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795337,11355068501,12413496,7282,嘉宝苹果香蕉泡芙49克,Nutrition,2,1028795337YK,663.571200,0.000000,408.00,0.000000,0.000000,2021/12/03,38.4200,34.00,,,,,," ",,
01 NKA,家乐福,20211130,1028795337,11355068509,12413468,7282,嘉宝菠菜番茄泡芙49克,Nutrition,2,1028795337YK,663.571200,0.000000,408.00,0.000000,0.000000,2021/12/03,38.4200,34.00,,,,,," ",,
01 NKA,家乐福,20211130,1028795337,102878795,,7282,雀巢能恩3幼儿配方奶粉听装900克,,1,1028795337YK,,,,,,2021/12/03,155.1870,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795335,103724689,12368832,7282,雀巢咖啡 馆藏系列 丝滑拿铁100g(5条x20g),Coffee,1,1028795335YK,93.474821,-4.922379,121.00,0.000000,0.050026,2021/12/03,12.9890,12.10,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,12301248099,12482249,7282,雀巢怡运水果加纤营养奶粉草莓味200g,Dairy,1,1028795335YK,134.422680,-7.074120,174.00,0.000000,0.049995,2021/12/03,18.6790,17.40,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,11503110098,12424790,7282,雀巢蜂蜜脆谷乐营养谷物食品300g,CPW,1,1028795335YK,191.102000,0.000000,235.00,0.000000,0.000000,2021/12/03,26.5550,23.50,,,,,," ",,
01 NKA,家乐福,20211130,1028795335,10733404800,12453276,7282,雀巢金牌咖啡至醇浓郁100g,Coffee,1,1028795335YK,601.808300,-31.674500,779.00,0.000000,0.050001,2021/12/03,69.6880,64.916667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,638040008,12409362,7282,雀巢怡跃高纤高钙高铁脱脂奶400g/袋,Dairy,1,1028795335YK,393.997559,-20.734441,510.00,0.000000,0.049995,2021/12/03,45.6240,42.50,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,124230659,12409361,7282,雀巢怡跃高钙营养奶粉 400g,Dairy,1,1028795335YK,338.374679,23.666279,387.00,0.000000,-0.075201,2021/12/03,39.1830,32.25,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,638040027,12408055,7282,雀巢全脂高钙奶粉（调制乳粉）900g/罐,Dairy,2,1028795335YK,826.622838,-43.501162,535.00,0.000000,0.049994,2021/12/03,95.7210,89.166667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,124222711,12413057,7282,雀巢咖啡 馆藏系列 卡布奇诺228g,Coffee,1,1028795335YK,232.534900,0.000360,285.95,0.040660,0.011970,2021/12/03,26.9270,23.829167,,,,,," ",,
01 NKA,家乐福,20211130,1028795335,10581890195,,7282,雀巢蜂蜜脆谷乐150g,,1,1028795335YK,,,,,,2021/12/03,13.7570,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795335,11724419143,12431506,7282,雀巢营养早餐谷物食品迷你装27g*4,CPW,6,1028795335YK,1195.360821,-48.835179,255.00,0.000000,0.039250,2021/12/03,13.8420,12.75,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,12333409373,12502717,7282,雀巢咖啡绝对深黑95%深烘速溶咖啡14.4g,Coffee,9,1028795335YK,886.513938,-42.973662,127.00,0.000000,0.046234,2021/12/03,9.1250,8.466667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,124235753,12417587,7282,雀巢优麦 3合1即食牛奶燕麦片400g(10袋x40g),Dairy,1,1028795335YK,255.710380,-13.458820,331.00,0.000000,0.050001,2021/12/03,22.2080,20.6875,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,12314539036,12500242,7282,雀巢怡养高蛋白高钙中老年奶粉675g,Dairy,3,1028795335YK,680.065487,-35.713153,293.40,0.000000,0.049894,2021/12/03,52.5000,48.90,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,134912867,,7282,雀巢天天脆麦片150g,,1,1028795335YK,,,,,,2021/12/03,7.3630,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795335,10595719440,12416019,7282,雀巢全脂高钙奶粉375g,Dairy,1,1028795335YK,382.404062,-20.129938,495.00,0.000000,0.050008,2021/12/03,29.5210,27.50,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,12317000385,12495107,7282,雀巢金牌厚乳风味拿铁条装即溶咖啡饮品95g,Coffee,2,1028795335YK,186.949642,-9.844758,121.00,0.000000,0.050026,2021/12/03,12.9890,12.10,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,134911988,,7282,雀巢谷物早餐迷你装108g/盒(27gx4g),,1,1028795335YK,,,,,,2021/12/03,10.4050,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795335,10581890192,,7282,雀巢蛋奶星星150g,,2,1028795335YK,,,,,,2021/12/03,13.7570,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795335,10557275819,12338778,7282,雀巢NIDO脱脂高钙奶粉袋装400g,Dairy,1,1028795335YK,675.764882,-0.004318,831.00,0.000000,0.000006,2021/12/03,39.1260,34.625,,,,,," ",,
01 NKA,家乐福,20211130,1028795335,12333409380,12505188,7282,雀巢咖啡绝对深黑拿铁即溶咖啡饮品360g,Coffee,1,1028795335YK,523.775643,-27.573957,678.00,0.000000,0.050012,2021/12/03,30.3260,28.25,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,134995883,12477184,7282,雀巢咖啡1+2无蔗糖添加双豆拼配条装即溶咖啡330g(新口味30条x11g）,Coffee,2,1028795335YK,616.730880,0.243960,379.05,0.040660,0.011576,2021/12/03,35.7080,31.5875,,,,,," ",,
