渠道,客户名称,订单日期,客户PO,客户产品代码,雀巢产品代码,Plant/区域,产品名称,BU,数量,雀巢 SAP PO,C4开票价,价差,箱价,TPP扣点,实际扣点,客户要求送货日,客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福,2022/02/07,1031105429,10137148488,,1098,嘉宝有机香蕉苹果营养米粉225g,,1,1031105429YK,,,,,,2022/02/09,55.9350,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2022/02/07,1031103888,12207432889,,1094,雀巢咖啡金牌手冲大师研磨礼盒,,3,1031103888YK,,,,,,2022/02/09,128.7000,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2022/02/07,1031103888,12333409148,,1094,雀巢咖啡绝对深黑95%深烘速溶咖啡54g,,1,1031103888YK,,,,,,2022/02/09,31.9225,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2022/02/07,1031103888,11663157236,,1094,雀巢咖啡醇品+咖啡伴侣大礼盒200g+400g,,8,1031103888YK,,,,,,2022/02/09,110.2126,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2022/02/07,1031103888,12349962099,,1094,星巴克家享咖啡新春礼盒217g,,10,1031103888YK,,,,,,2022/02/09,147.8264,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2022/02/07,1031103888,11663157411,,1094,雀巢咖啡1＋2原味60*15g,,1,1031103888YK,,,,,,2022/02/09,64.1275,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2022/02/07,1031103888,124090517,,1094,雀巢咖啡 1+2原味 300g(20条x15g),,4,1031103888YK,,,,,,2022/02/09,24.6716,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2022/02/07,1031103887,12341876201,,1094,雀巢脆脆鲨混合口味大礼包374g,,2,1031103887YK,,,,,,2022/02/09,30.1371,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2022/02/07,1031103887,11593276743,,1094,雀巢脆脆鲨鲨明治芝士番茄味威化饼干132g,,1,1031103887YK,,,,,,2022/02/09,10.9704,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2022/02/07,1031103887,11684452690,,1094,雀巢威化散装,,1,1031103887YK,,,,,,2022/02/09,65.9920,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
