采购单号,采购订单号（财务开票用此）,订单创建日期时间,采购订单状态,采购订单类型,地点名称,采购数量,确认数量,实收数量,操作
1027900196,1027900196,2021-10-14,已取消,标准采购订单,苏宁东莞市物流库,534,534,0,详情
1027890200,1027890200,2021-10-14,已取消,"标准采购订单
                                     越库",苏宁天津市物流库,16,16,0,详情
1027887231,1027887231,2021-10-14,已取消,标准采购订单,昆山花桥1仓,960,960,0,详情
1027886600,1027886600,2021-10-14,已取消,标准采购订单,家乐福成都龙泉驿（福泉)店,50,50,0,详情
1027886595,1027886595,2021-10-14,已取消,标准采购订单,家乐福成都大世界店,50,50,0,详情
1027886591,1027886591,2021-10-14,已取消,标准采购订单,家乐福成都府青路店,50,50,0,详情
1027886587,1027886587,2021-10-14,已取消,标准采购订单,家乐福成都双桥子店,50,50,0,详情
1027886572,1027886572,2021-10-14,已取消,标准采购订单,家乐福四川资阳店,50,50,0,详情
1027886571,1027886571,2021-10-14,已取消,标准采购订单,家乐福成都科华路店,50,50,0,详情
1027886564,1027886564,2021-10-14,已取消,标准采购订单,家乐福成都青白江店,50,50,0,详情
1027886431,1027886431,2021-10-14,已取消,标准采购订单,家乐福成都华阳店,50,50,0,详情
1027884665,1027884665,2021-10-14,已取消,标准采购订单,家乐福昆明世纪城店,64,64,0,详情
1027884660,1027884660,2021-10-14,已取消,标准采购订单,家乐福成都邛崃店,50,50,0,详情
1027884413,1027884413,2021-10-14,已取消,标准采购订单,家乐福昆明广福店,50,50,0,详情
1027884407,1027884407,2021-10-14,已取消,标准采购订单,家乐福昆明世纪广场店,50,50,0,详情
1027884404,1027884404,2021-10-14,已取消,标准采购订单,家乐福成都新红牌楼店,50,50,0,详情
1027881872,1027881872,2021-10-14,已取消,"标准采购订单
                                     越库",昆山花桥1仓,24,24,0,详情
