渠道,客户名称,"date_format(`订单日期`, '%Y%m%d')",客户PO,客户产品码,雀巢产品码,区域,产品名称,Nestle_BU,数量,SAP_PO,C4开票价,价差,箱价,TPP扣点,实际扣点,"date_format(`客户要求送货日`, '%Y/%m/%d')",客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福-RTD,20220628,1033417968,12294309948,12515474,9997,雀巢轻荔椰青咖啡268ml,RTD,109,1033417968YKRTD,4779.161140,429.752452,51.21,0.000000,-0.098807,2022/07/01,4.2390,3.414,,,,,,"送货日异常
价格差异","送货日异常
不符合价差检查标准",
01 NKA,家乐福-RTD,20220628,1033417968,12362602961,12513703,9997,雀巢咖啡招牌美式（即饮瓶装）268mL,RTD,2,1033417968YKRTD,87.691030,7.885366,51.21,0.000000,-0.098807,2022/07/01,4.2390,3.414,,,,,,"送货日异常
价格差异","送货日异常
不符合价差检查标准",
01 NKA,家乐福-RTD,20220628,1033417968,12294219224,12462186,9997,咖啡丝滑无糖瓶,RTD,40,1033417968YKRTD,1753.820602,157.707322,51.21,0.000000,-0.098807,2022/07/01,4.2390,3.414,,,,,,"送货日异常
价格差异","送货日异常
不符合价差检查标准",
01 NKA,家乐福-RTD,20220628,1033418268,12294309948,12515474,9997,雀巢轻荔椰青咖啡268ml,RTD,7,1033418268YKRTD,306.918605,27.598781,51.21,0.000000,-0.098807,2022/07/01,4.2390,3.414,,,,,,"送货日异常
价格差异","送货日异常
不符合价差检查标准",
01 NKA,家乐福-RTD,20220628,1033418268,12294219224,12462186,9997,咖啡丝滑无糖瓶,RTD,4,1033418268YKRTD,175.382060,15.770732,51.21,0.000000,-0.098807,2022/07/01,4.2390,3.414,,,,,,"送货日异常
价格差异","送货日异常
不符合价差检查标准",
01 NKA,家乐福-RTD,20220628,1033420255,12294309948,12515474,9995,雀巢轻荔椰青咖啡268ml,RTD,2,1033420255YKRTD,87.691030,7.885366,51.21,0.000000,-0.098807,2022/07/21,4.2390,3.414,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福-RTD,20220628,1033421973,124055873,12462192,9997,雀巢咖啡丝滑拿铁饮料268mL*3,RTD,2000,1033421973CHRTD,87426.240000,7620.576000,51.21,0.000000,-0.095489,2022/07/01,12.6786,10.242,,,,,,"送货日异常
价格差异","送货日异常
不符合价差检查标准",
01 NKA,家乐福-RTD,20220628,1033422788,12294219224,12462186,9996,咖啡丝滑无糖瓶,RTD,1,1033422788YKRTD,43.845515,3.942683,51.21,0.000000,-0.098807,2022/07/04,4.2390,3.414,,,,,,"指定送货日
价格差异","客户网站交货日期不符合车期
不符合价差检查标准",
01 NKA,家乐福-RTD,20220628,1033423006,11504023350,12462178,9997,雀巢咖啡即饮饮料丝滑摩卡瓶装268mL*3,RTD,72,1033423006CHRTD,3149.951167,276.947263,51.21,0.000000,-0.096396,2022/07/01,12.6891,10.242,,,,,,"送货日异常
价格差异","送货日异常
不符合价差检查标准",
01 NKA,家乐福-RTD,20220628,1033423281,10109343286,12462167,9995,雀巢咖啡即饮饮料丝滑榛果瓶装268mL,RTD,16,1033423281CHRTD,701.528241,63.082929,51.21,0.000000,-0.098807,2022/07/07,4.2390,3.414,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福-RTD,20220628,1033423281,10109343285,12462187,9995,雀巢咖啡即饮饮料丝滑焦糖瓶装268mL,RTD,20,1033423281CHRTD,876.910301,78.853661,51.21,0.000000,-0.098807,2022/07/07,4.2390,3.414,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福-RTD,20220629,1033438857,10552558343,12462191,9995,雀巢咖啡香滑即饮罐装210mL,RTD,16,1033438857CHRTD,1037.871231,127.017599,73.06,0.000000,-0.139449,2022/07/07,3.9196,3.044167,,,,,,"跨月订单
价格差异","跨月订单
不符合价差检查标准",
01 NKA,家乐福-RTD,20220630,1033453418,10745328793,12462291,9996,雀巢咖啡冷萃摩卡风味瓶装280mL,RTD,7,1033453418YKRTD,562.814436,91.717908,86.37,0.000000,-0.194690,2022/07/06,7.7733,5.758,,,,,,"指定送货日
跨月订单
价格差异","客户网站交货日期不符合车期
跨月订单
不符合价差检查标准",
01 NKA,家乐福-RTD,20220630,1033453418,12294219224,12462186,9996,咖啡丝滑无糖瓶,RTD,1,1033453418YKRTD,43.845515,3.942683,51.21,0.000000,-0.098807,2022/07/06,4.2390,3.414,,,,,,"指定送货日
跨月订单
价格差异","客户网站交货日期不符合车期
跨月订单
不符合价差检查标准",
01 NKA,家乐福-RTD,20220630,1033453418,10835004207,12516613,9996,雀巢咖啡冷萃美式风味无糖瓶装280mL,RTD,4,1033453418YKRTD,321.608249,52.410233,86.37,0.000000,-0.194690,2022/07/06,7.7733,5.758,,,,,,"指定送货日
跨月订单
价格差异","客户网站交货日期不符合车期
跨月订单
不符合价差检查标准",
01 NKA,家乐福-RTD,20220628,1033423006,11504023350,12462178,9997,雀巢咖啡即饮饮料丝滑摩卡瓶装268mL*3,RTD,72,1033423006CHRTD,3149.951167,276.947263,51.21,0.000000,-0.096396,2022/07/01,12.6891,10.242,,,,,,"送货日异常
跨月订单
价格差异","送货日异常
跨月订单
不符合价差检查标准",
01 NKA,家乐福-RTD,20220628,1033423281,10109343286,12462167,9995,雀巢咖啡即饮饮料丝滑榛果瓶装268mL,RTD,16,1033423281CHRTD,701.528241,63.082929,51.21,0.000000,-0.098807,2022/07/07,4.2390,3.414,,,,,,"送货日异常
跨月订单
价格差异","送货日异常
跨月订单
不符合价差检查标准",
01 NKA,家乐福-RTD,20220628,1033423281,10109343285,12462187,9995,雀巢咖啡即饮饮料丝滑焦糖瓶装268mL,RTD,20,1033423281CHRTD,876.910301,78.853661,51.21,0.000000,-0.098807,2022/07/07,4.2390,3.414,,,,,,"送货日异常
跨月订单
价格差异","送货日异常
跨月订单
不符合价差检查标准",
