Order Date,PO No.,WMDC,Order type（Promotional Event）,Nestle BU,是否为手工单,是否为稳定库存,Order qty,起送日,MABD,order category,Exception category,Item Type,Customer order Item,原始MABD,新MABD,沃尔玛产品编码,雀巢产品编码,Material Description,原单箱规,原订单数量,修改后订单数量,雀巢数量,雀巢价格,沃尔玛价格,Exception reason
11/16/2021,0022990368,WHDC,SYSOS,Coffee,,稳定,383,10/29/2021,11/01/2021,exception,,Item,5,,11/01/2021,020642785,12476896,雀巢咖啡1+2原味条装双豆拼配即溶咖啡饮品 @8(60x15g) CN,,,,40,651,633,价差订单
11/16/2021,0022990368,WHDC,SYSOS,,,稳定,383,10/29/2021,11/01/2021,exception,跨月订单,Order,5,,11/01/2021,,,,,,,,,,跨月订单
11/16/2021,0022990369,WHDC,SYSOS,Dairy,,稳定,430,10/29/2021,11/01/2021,exception,,Item,6,,11/01/2021,020046735,12413033,雀巢爱思培学生奶盒装400g,,,,120,651,633,价差订单
11/16/2021,0022990369,WHDC,SYSOS,,,稳定,430,10/29/2021,11/01/2021,exception,跨月订单,Order,6,,11/01/2021,,,,,,,,,,跨月订单
11/16/2021,0022990418,WHDC,SYSOS,,,稳定,96,11/04/2021,11/08/2021,clean,,Order,1,,11/08/2021,,,,,,,,,,
11/16/2021,0022990441,WHDC,SYSOS,Coffee,,稳定,470,11/09/2021,11/11/2021,exception,,Item,5,,11/11/2021,020642785,12476896,雀巢咖啡1+2原味条装双豆拼配即溶咖啡饮品 @8(60x15g) CN,,,,40,651,633,价差订单
11/16/2021,0022990441,WHDC,SYSOS,,,稳定,470,11/09/2021,11/11/2021,clean,,Order,5,,11/11/2021,,,,,,,,,,
11/16/2021,0050254779,GZDC,SYSOS,,,稳定,10,10/29/2021,11/04/2021,exception,跨月订单; 重复订单：订单修改MABD,Order,1,11/01/2021,11/04/2021,,,,,,,,,,跨月订单; 重复订单：订单修改MABD
11/16/2021,0050254784,GZDC,SYSOS,,,稳定,130,11/01/2021,11/04/2021,clean,,Order,3,,11/04/2021,,,,,,,,,,
11/16/2021,0050254786,GZDC,REGPRO2124,,,稳定,40,11/03/2021,11/08/2021,exception,重复订单：订单修改MABD,Order,2,11/07/2021,11/08/2021,,,,,,,,,,重复订单：订单修改MABD
11/16/2021,0100283499,TJDC,SYSOS,,,稳定,70,11/04/2021,11/08/2021,clean,,Order,2,,11/08/2021,,,,,,,,,,
