Column-0,Column-1,Column-2,Column-3,Column-4,Column-5,Column-6,Column-7,Column-8,Column-9,Column-10,Column-11,Column-12,Column-13,Column-14,Column-15,Column-16,Column-17
,Line,Item,GTIN,Supplier Stock #,Color,Size,Quantity Ordered,UOM,Pack,Cost,Extended Cost,,,,,,
,001,020435778,6917878055251 (GTIN-13),05525,,198g,1,CA,12 / 12,447.0000,447.00,,,,,,
,,"Item Description
                                                雀巢嘉宝营养米粉 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢嘉宝营养米粉 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢嘉宝营养米粉 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢嘉宝营养米粉 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢嘉宝营养米粉 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢嘉宝营养米粉 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢嘉宝营养米粉 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢嘉宝营养米粉 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢嘉宝营养米粉 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%",Item Description,雀巢嘉宝营养米粉 HO JB BB FOOD,Tax Type,Percent,VAT - IN,13%,
,002,020484902,6917878055237 (GTIN-13),05523,,198g,3,CA,12 / 12,447.0000,1341.00,,,,,,
,,"Item Description
                                                嘉宝胡萝卜米粉198G HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝胡萝卜米粉198G HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝胡萝卜米粉198G HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝胡萝卜米粉198G HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝胡萝卜米粉198G HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝胡萝卜米粉198G HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝胡萝卜米粉198G HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝胡萝卜米粉198G HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝胡萝卜米粉198G HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%",Item Description,嘉宝胡萝卜米粉198G HO JB BB FOOD,Tax Type,Percent,VAT - IN,13%,
,003,020516550,6917878059228 (GTIN-13),5922,,49g,1,CA,12 / 12,408.0000,408.00,,,,,,
,,"Item Description
                                                嘉宝香蕉橙子泡芙 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝香蕉橙子泡芙 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝香蕉橙子泡芙 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝香蕉橙子泡芙 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝香蕉橙子泡芙 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝香蕉橙子泡芙 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝香蕉橙子泡芙 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝香蕉橙子泡芙 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                嘉宝香蕉橙子泡芙 HO JB BB FOOD
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%",Item Description,嘉宝香蕉橙子泡芙 HO JB BB FOOD,Tax Type,Percent,VAT - IN,13%,
,004,020581161,7613035956032 (GTIN-13),95603,6,800g,1,CA,6 / 6,1631.0000,1631.00,,,,,,
,,"Item Description
                                                雀巢超级能恩奶粉2. HOR BYM  MILK POW
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢超级能恩奶粉2. HOR BYM  MILK POW
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢超级能恩奶粉2. HOR BYM  MILK POW
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢超级能恩奶粉2. HOR BYM  MILK POW
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢超级能恩奶粉2. HOR BYM  MILK POW
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢超级能恩奶粉2. HOR BYM  MILK POW
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢超级能恩奶粉2. HOR BYM  MILK POW
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢超级能恩奶粉2. HOR BYM  MILK POW
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%","Item Description
                                                雀巢超级能恩奶粉2. HOR BYM  MILK POW
                                            
                                        

                                        
                                            
                                                Tax Type
                                                Percent
                                            
                                                
                                                    VAT - IN
                                                    13%",Item Description,雀巢超级能恩奶粉2. HOR BYM  MILK POW,Tax Type,Percent,VAT - IN,13%,
,005,020616268,6917878054537 (GTIN-13),5453,,225g,1,CA,12 / 12,610.0000,610.00,,,,,,
